feature,label_frac,seed,mIoU,IoU_wood,IoU_leaf,OA
Sonata (SSL, 1232-d),0.01,0,0.9007,0.8689,0.9324,0.9533
Sonata (SSL, 1232-d),0.01,1,0.9016,0.8701,0.9331,0.9538
Sonata (SSL, 1232-d),0.01,2,0.8981,0.8654,0.9307,0.9521
Sonata (SSL, 1232-d),0.05,0,0.9174,0.8907,0.9440,0.9616
Sonata (SSL, 1232-d),0.05,1,0.9167,0.8900,0.9435,0.9612
Sonata (SSL, 1232-d),0.05,2,0.9149,0.8876,0.9422,0.9603
Sonata (SSL, 1232-d),0.1,0,0.9175,0.8909,0.9440,0.9616
Sonata (SSL, 1232-d),0.1,1,0.9169,0.8901,0.9437,0.9613
Sonata (SSL, 1232-d),0.1,2,0.9181,0.8917,0.9446,0.9619
Sonata (SSL, 1232-d),1.0,0,0.9188,0.8926,0.9450,0.9622
Sonata (SSL, 1232-d),1.0,1,0.9187,0.8924,0.9449,0.9622
Sonata (SSL, 1232-d),1.0,2,0.9186,0.8924,0.9449,0.9622
Geometry (hand, 8-d),0.01,0,0.7509,0.6831,0.8187,0.8696
Geometry (hand, 8-d),0.01,1,0.7550,0.6868,0.8232,0.8726
Geometry (hand, 8-d),0.01,2,0.7513,0.6830,0.8195,0.8701
Geometry (hand, 8-d),0.05,0,0.7542,0.6861,0.8223,0.8720
Geometry (hand, 8-d),0.05,1,0.7530,0.6850,0.8210,0.8711
Geometry (hand, 8-d),0.05,2,0.7526,0.6845,0.8206,0.8709
Geometry (hand, 8-d),0.1,0,0.7540,0.6859,0.8221,0.8719
Geometry (hand, 8-d),0.1,1,0.7532,0.6851,0.8212,0.8713
Geometry (hand, 8-d),0.1,2,0.7538,0.6858,0.8219,0.8717
Geometry (hand, 8-d),1.0,0,0.7536,0.6856,0.8216,0.8716
Geometry (hand, 8-d),1.0,1,0.7535,0.6855,0.8216,0.8715
Geometry (hand, 8-d),1.0,2,0.7535,0.6855,0.8215,0.8715
